ID,Filename,Title,Description,Created At,Updated At,Source
27997774,1_untitled.txt,,From Meditations on Moloch (LessWrong),2024-05-08 15:21:42 UTC,2024-11-23 13:28:18 UTC,
8530479,2_sense-making-for-product-development-the-produc....webloc,Sense-making for Product Development — The Product Field,"The Product Field is a sense-making framework for product development. It helps you navigate complexity, align perspectives, find your focus, and make the right decisions.

https://www.are.na/block/8530519

https://soundcloud.com/officialsxsw/sxsw-2019-a-language-to-foster-innovation",2020-09-02 01:20:40 UTC,2025-02-13 15:08:23 UTC,https://productfield.com/
32454832,3_untitled.txt,,,2024-11-23 14:17:21 UTC,2024-11-23 14:17:42 UTC,
32455268,4_untitled.txt,,,2024-11-23 14:55:00 UTC,2024-11-23 14:55:00 UTC,
3064853,5_is-alignment-solvable.webloc,is alignment solvable?,,2024-08-09 15:59:48 UTC,2025-01-16 17:20:04 UTC,
32455302,6_untitled.txt,,,2024-11-23 14:58:11 UTC,2024-11-23 14:58:11 UTC,
32405069,7_untitled.txt,,,2024-11-21 11:53:38 UTC,2024-11-23 20:58:53 UTC,
32406502,8_untitled.txt,,,2024-11-21 13:37:44 UTC,2024-11-23 20:58:59 UTC,
32432225,9_untitled.txt,,,2024-11-22 12:26:22 UTC,2024-11-23 20:59:16 UTC,
32469958,10_untitled.txt,,,2024-11-24 05:48:57 UTC,2024-11-24 05:49:27 UTC,
32470064,11_untitled.txt,,,2024-11-24 05:59:37 UTC,2024-11-24 05:59:43 UTC,
32470234,12_untitled.txt,,,2024-11-24 06:15:39 UTC,2024-11-26 11:20:58 UTC,
3349167,13_elua.webloc,Elua ✽❁✿☘❋,,2024-11-23 21:34:17 UTC,2024-12-03 20:01:31 UTC,
32471608,14_untitled.txt,,,2024-11-24 07:43:16 UTC,2024-11-24 07:43:16 UTC,
32471735,15_untitled.txt,,,2024-11-24 08:05:49 UTC,2024-11-24 10:27:03 UTC,
3305548,16_references-rcl7xewj06m.webloc,References 🕮,,2024-11-08 01:57:09 UTC,2025-01-14 22:30:17 UTC,
32492744,17_untitled.txt,,,2024-11-25 08:41:48 UTC,2024-11-25 08:41:48 UTC,
3276554,18_meta-crisis-q4p4k96dllw.webloc,meta-crisis,,2024-10-28 18:41:59 UTC,2024-12-04 09:55:32 UTC,
31957823,19_what-does-it-take-for-wisdom-to-win.webloc,What does it take for wisdom to win?,"On Money, Power, and Theories of Change for the Meta-Crisis",2024-11-04 19:25:19 UTC,2024-11-25 09:54:41 UTC,https://welf.substack.com/p/what-does-it-take-for-wisdom-to-win
3349709,20_authentic-progress.webloc,Authentic Progress,,2024-11-24 05:54:55 UTC,2025-01-14 22:46:39 UTC,
32524802,21_untitled.txt,,,2024-11-26 10:15:00 UTC,2024-11-28 12:45:06 UTC,
32528399,22_untitled.txt,,,2024-11-26 13:08:00 UTC,2024-11-26 13:08:45 UTC,
32539159,23_untitled.txt,,,2024-11-26 19:40:27 UTC,2024-11-26 19:40:37 UTC,
32553338,24_good-bc-evolutionary-progress.jpg,good bc 'evolutionary progress',,2024-11-27 08:26:16 UTC,2025-01-16 19:17:03 UTC,
32554665,25_untitled.txt,,,2024-11-27 10:03:09 UTC,2024-11-27 10:03:36 UTC,
32257684,26_1-000-1-funding-gap.txt,"1,000 : 1 Funding Gap",,2024-11-15 21:01:26 UTC,2024-11-27 10:11:57 UTC,
32554901,27_cleanshot-2024-11-27-at-11-20-22-png.png,cleanshot-2024-11-27-at-11.20.22.png,,2024-11-27 10:20:48 UTC,2024-11-27 10:20:59 UTC,
32554915,28_untitled.txt,,,2024-11-27 10:21:52 UTC,2024-11-27 10:21:52 UTC,
3355994,29_ai-alignment-risk.webloc,AI Alignment + Risk,,2024-11-26 13:04:43 UTC,2025-02-13 20:08:18 UTC,
32564328,30_untitled.txt,,,2024-11-27 17:20:12 UTC,2025-01-27 04:47:35 UTC,
32564315,31_untitled.txt,,,2024-11-27 17:19:41 UTC,2024-11-27 17:24:07 UTC,
32564396,32_untitled.txt,,,2024-11-27 17:22:49 UTC,2025-01-27 04:47:58 UTC,
32594024,33_untitled.txt,,,2024-11-28 19:40:24 UTC,2024-11-28 19:42:02 UTC,
32594099,34_untitled.txt,,,2024-11-28 19:46:22 UTC,2024-11-28 19:46:22 UTC,
32594112,35_untitled.txt,,,2024-11-28 19:46:49 UTC,2024-11-28 19:46:49 UTC,
32594115,36_untitled.txt,,,2024-11-28 19:46:58 UTC,2024-11-28 19:46:58 UTC,
32594118,37_untitled.txt,,,2024-11-28 19:47:12 UTC,2024-11-28 19:47:12 UTC,
3373611,38_value-religion.webloc,value → religion,,2024-12-03 13:26:39 UTC,2024-12-04 18:54:39 UTC,
3373655,39_meme-library-z5gpkj5l0q.webloc,meme library,,2024-12-03 13:45:42 UTC,2025-02-08 17:19:56 UTC,
32770258,40_utopian-realism.jpg,Utopian Realism,,2024-12-05 16:01:24 UTC,2025-02-10 10:37:49 UTC,
33127148,41_untitled.txt,,,2024-12-20 22:58:33 UTC,2024-12-20 22:58:33 UTC,
33177447,42_untitled.txt,,,2024-12-23 19:54:29 UTC,2024-12-23 19:54:29 UTC,
33177477,43_untitled.txt,,,2024-12-23 19:57:06 UTC,2024-12-23 19:57:06 UTC,
33298265,44_471384059_949558247272304_8321704348461630565_n....jpg,471384059_949558247272304_8321704348461630565_n.jpg,,2024-12-31 00:44:30 UTC,2024-12-31 00:44:43 UTC,
33356465,45_untitled.txt,,,2025-01-02 21:35:05 UTC,2025-01-02 21:35:20 UTC,
33576438,46_the-fundamental-concern.txt,The fundamental concern,,2025-01-10 17:35:24 UTC,2025-01-10 17:36:52 UTC,
33583617,47_cleanshot-2025-01-10-at-17-20-57-2x-png.png,cleanshot-2025-01-10-at-17.20.57@2x.png,,2025-01-10 23:21:20 UTC,2025-01-10 23:22:04 UTC,
33677569,48_cleanshot-2025-01-14-at-13-27-07-2x-png.png,cleanshot-2025-01-14-at-13.27.07@2x.png,,2025-01-14 19:27:36 UTC,2025-01-14 19:27:53 UTC,
33738389,49_untitled.txt,,,2025-01-16 20:24:29 UTC,2025-01-16 20:24:29 UTC,
3299290,50_technium.webloc,Technium,"If not indicated otherwise, notes in this collection are quoted from Kevin Kelly's excellent book ""What Technology Wants"".",2024-11-05 22:41:46 UTC,2025-01-06 06:43:01 UTC,
3276561,51_moloch-vtdjdv6injm.webloc,moloch,,2024-10-28 18:44:57 UTC,2025-01-01 01:46:35 UTC,
32493115,52_capitalism-misaligned-asi.txt,Capitalism = Misaligned ASI,,2024-11-25 09:04:44 UTC,2025-01-27 04:39:09 UTC,
3338426,53_political-compass-gt_m7qw2cq4.webloc,political compass ⛋,"An essential tool for thinking about [Alignment at Large](https://www.are.na/welf-von-horen/alignment-at-large).

The axes wisdom/care and power/capacity seem to define the space of what we're looking for in the [top right quadrant ◳](https://www.are.na/welf-von-horen/top-right-quadrant): games worth playing that bring about successful coordination and win cultural evolution. 

It also describes the failure modes of 

[techno-optimism ◰](https://www.are.na/welf-von-horen/techno-optimism-rsxs48c1jty): it's immature/naive/dishonest about it's own externalities), 

[limbic capitalism ◱](https://www.are.na/welf-von-horen/limbic-capitalism-ukq3evfh1om): it turns extractive capitalism on us, the ultimate race to the bottom, and 

the [activist/hippie/buddhism complex ◲](https://www.are.na/welf-von-horen/activist-hippie-buddhism-complex) that cares so much but isn't oriented towards winning.",2024-11-19 21:51:15 UTC,2025-02-12 17:20:16 UTC,
32455248,54_alignment-at-large.webloc,Alignment at Large,"Alignment at Large We're not seriously engaged with the question of what it would take to bend the arc of history towards futures worth living in. The question of AI alignment isn't properly contextualized: AI is embedded in human civilization and techno-capitalism, including all of its market...",2024-11-23 14:51:20 UTC,2024-11-24 10:26:44 UTC,https://docs.google.com/document/d/1_RhGhNktSOx6MYD48MgCZ49M5U8K0TFur1rrf7khIEs/edit?usp=sharing
32406143,55_political-compass-simple-11-15-2024.png,Political Compass - simple (11/15/2024),,2024-11-21 13:05:20 UTC,2025-01-30 01:14:54 UTC,
31831935,56_balancing-towards-the-3rd-attractor.png,Balancing towards the 3rd Attractor,,2024-10-30 18:14:50 UTC,2025-01-16 19:17:14 UTC,
32526812,57_untitled.txt,,,2024-11-26 12:05:59 UTC,2024-11-26 12:06:03 UTC,
32705992,58_alignment-at-large.webloc,Alignment at Large,Bending the Arc of History Towards Life-Affirming Futures,2024-12-03 13:27:04 UTC,2024-12-03 13:45:04 UTC,https://welf.substack.com/p/alignment-at-large
