ID,Filename,Title,Description,Created At,Updated At,Source
12798475,1_introduction-to-game-theory-lesswrong.webloc,Introduction to Game Theory - LessWrong,,2021-08-10 02:52:28 UTC,2024-10-24 23:01:08 UTC,https://www.lesswrong.com/s/ZNNi2uNx9E6iwGKKG
31691846,2_untitled.txt,,,2024-10-24 23:01:45 UTC,2024-11-07 02:03:46 UTC,
32286289,3_untitled.txt,,,2024-11-17 11:01:19 UTC,2024-11-17 11:01:19 UTC,
32409087,4_c768a6e59fbe775eed3ad0c04676bae8-pdf.pdf,c768a6e59fbe775eed3ad0c04676bae8.pdf,,2024-11-21 15:29:11 UTC,2024-11-21 15:29:22 UTC,
2058370,5_untitled.txt,,,2018-04-18 04:24:23 UTC,2024-11-23 23:36:31 UTC,
9871447,6_screen-shot-2020-12-11-at-2-53-22-pm-png.png,screen-shot-2020-12-11-at-2.53.22-pm.png,,2020-12-12 16:32:02 UTC,2024-11-22 08:40:48 UTC,
32049254,7_meditations-on-moloch.webloc,Meditations On Moloch,I. Allen Ginsberg’s famous poem on Moloch:What sphinx of cement and aluminum bashed open their skulls and ate up their brains and imagination? Moloch! Solitude! Filth! Ugliness! Ashcans and u…,2024-11-08 02:00:36 UTC,2024-12-23 19:22:54 UTC,https://slatestarcodex.com/2014/07/30/meditations-on-moloch/
16343699,8_meditations-on-moloch.txt,Meditations on Moloch,(source: https://slatestarcodex.com/2014/07/30/meditations-on-moloch/),2022-05-05 08:54:57 UTC,2024-11-23 12:59:41 UTC,
3348464,9_instrumental-convergence.webloc,instrumental convergence,,2024-11-23 13:43:27 UTC,2025-02-05 15:59:47 UTC,
1215445,10_the-technium-a-conversation-with-kevin-kelly.txt,The Technium: A Conversation with Kevin Kelly,https://www.edge.org/conversation/the-technium,2017-08-24 09:22:19 UTC,2024-11-24 06:11:24 UTC,
32471731,11_untitled.txt,,,2024-11-24 08:05:12 UTC,2024-11-24 08:05:19 UTC,
32493117,12_untitled.txt,,,2024-11-25 09:04:48 UTC,2024-11-25 09:04:48 UTC,
32492617,13_wait-it-s-all-game-theory.webp,"Wait, it's all game theory?",,2024-11-25 08:35:55 UTC,2024-11-25 09:56:15 UTC,
32494298,14_untitled.txt,,,2024-11-25 10:18:03 UTC,2024-11-25 10:18:03 UTC,
3348438,15_alignment-at-large.webloc,Alignment at Large,"How to transcend the [meta-crisis](https://www.are.na/welf-von-horen/meta-crisis-q4p4k96dllw), solve market misalignment, kill [Moloch](https://www.are.na/welf-von-horen/moloch-vtdjdv6injm), ... so as to bend the arc of history towards the possibilities of a life-affirming civilization and [flourishing futures](https://www.are.na/welf-von-horen/flourishing-futures) for all.",2024-11-23 13:28:18 UTC,2025-01-16 20:24:29 UTC,
32526959,16_money-claims-on-energy-resources-labor.png,"Money = Claims on Energy, Resources, Labor",,2024-11-26 12:12:44 UTC,2024-11-28 10:16:20 UTC,
32585623,17_untitled.txt,,,2024-11-28 11:51:18 UTC,2024-11-28 12:46:19 UTC,
3276561,18_moloch-vtdjdv6injm.webloc,moloch,,2024-10-28 18:44:57 UTC,2025-01-01 01:46:35 UTC,
32492669,19_untitled.txt,,,2024-11-25 08:38:28 UTC,2024-11-27 15:47:15 UTC,
32493077,20_untitled.txt,,,2024-11-25 09:02:54 UTC,2025-01-27 04:39:26 UTC,
32493115,21_capitalism-misaligned-asi.txt,Capitalism = Misaligned ASI,,2024-11-25 09:04:44 UTC,2025-01-27 04:39:09 UTC,
